transaction_id,customer_id,age_group,gender,city,customer_segment,product_id,product_category,original_price,discount_pct,final_price,quantity,purchase_amount,payment_method,purchase_date,purchase_hour,is_weekend,is_black_friday,high_spender
T0042158,C015193,26-35,Other,Atlanta,Returning,P9376,Home & Kitchen,1068.82,35,694.73,2,1389.46,Cash,2025-12-01,9,0,0,1
T0027766,C009215,26-35,Female,New York,Returning,P7485,Sports,309.89,25,232.42,1,232.42,Gift Card,2025-11-27,0,0,0,1
T0034350,C004166,36-45,Male,New York,New,P9447,Sports,331.25,25,248.44,2,496.88,Debit Card,2025-11-27,12,0,0,1
T0098696,C009803,18-25,Other,Dallas,Returning,P3480,Accessories,298.26,20,238.61,1,238.61,Debit Card,2025-11-24,17,0,0,1
T0076224,C029916,46-55,Female,Dallas,New,P4920,Toys,84.83,35,55.14,1,55.14,Gift Card,2025-11-29,2,1,0,0
T0077044,C007500,56+,Male,San Francisco,New,P5509,Toys,81.46,30,57.02,1,57.02,Credit Card,2025-11-25,20,0,0,0
T0074171,C017088,18-25,Other,New York,Returning,P3468,Accessories,51.93,40,31.16,1,31.16,Cash,2025-11-27,14,0,0,0
T0036332,C025389,36-45,Other,Los Angeles,VIP,P6344,Clothing,212.57,30,148.8,1,148.8,Gift Card,2025-12-01,0,0,0,0
T0069118,C021908,56+,Male,Houston,New,P5251,Electronics,1628.15,15,1383.93,3,4151.79,Mobile Wallet,2025-11-28,19,0,1,1
T0072752,C028494,36-45,Female,Seattle,Loyal,P6923,Clothing,282.52,20,226.02,1,226.02,Credit Card,2025-11-29,15,1,0,1
T0072467,C031079,46-55,Female,Los Angeles,Loyal,P4965,Electronics,374.15,60,149.66,1,149.66,PayPal,2025-11-25,16,0,0,0
T0099899,C021277,26-35,Female,Chicago,Loyal,P8918,Accessories,312.11,35,202.87,1,202.87,PayPal,2025-11-24,3,0,0,1
T0015073,C007959,46-55,Male,Atlanta,Returning,P3815,Accessories,434.29,15,369.15,1,369.15,PayPal,2025-11-27,9,0,0,1
T0077957,C031971,18-25,Male,Phoenix,Returning,P2134,Home & Kitchen,260.36,10,234.32,1,234.32,Gift Card,2025-12-01,22,0,0,1
T0032549,C021809,26-35,Female,Los Angeles,Loyal,P4497,Clothing,105.37,20,84.3,1,84.3,Mobile Wallet,2025-11-30,9,1,0,0
T0063717,C001680,36-45,Female,Houston,Loyal,P2445,Sports,346.78,35,225.41,1,225.41,PayPal,2025-12-01,23,0,0,1
T0013006,C006283,18-25,Male,New York,VIP,P6720,Clothing,155.26,35,100.92,3,302.76,PayPal,2025-11-25,13,0,0,1
T0081657,C015953,46-55,Other,Los Angeles,VIP,P5669,Beauty,71.58,20,57.26,2,114.52,Mobile Wallet,2025-11-29,11,1,0,0
T0045717,C000135,36-45,Female,Chicago,VIP,P4072,Home & Kitchen,1058.51,25,793.88,1,793.88,Mobile Wallet,2025-11-30,4,1,0,1
T0000605,C029544,56+,Male,Atlanta,New,P1032,Footwear,349.04,30,244.33,1,244.33,Credit Card,2025-11-26,23,0,0,1
T0013260,C016108,56+,Female,Miami,VIP,P7563,Beauty,61.58,35,40.03,2,80.06,Gift Card,2025-11-24,1,0,0,0
T0056056,C014863,18-25,Male,Chicago,Returning,P2035,Toys,180.88,40,108.53,1,108.53,Gift Card,2025-11-27,2,0,0,0
T0042957,C016458,36-45,Other,New York,Loyal,P8012,Groceries,173.87,40,104.32,2,208.64,PayPal,2025-11-27,3,0,0,1
T0090979,C013915,36-45,Other,Dallas,Loyal,P1373,Clothing,158.35,30,110.84,1,110.84,Cash,2025-11-24,22,0,0,0
T0094888,C015850,46-55,Male,Phoenix,Loyal,P3284,Electronics,2198.82,35,1429.23,1,1429.23,Debit Card,2025-11-29,18,1,0,1
T0081389,C020316,26-35,Male,Dallas,New,P9111,Electronics,2353.53,15,2000.5,4,8002.0,Debit Card,2025-11-30,18,1,0,1
T0098014,C018565,46-55,Female,Miami,Returning,P4350,Accessories,189.29,35,123.04,1,123.04,Cash,2025-11-24,13,0,0,0
T0053929,C014628,18-25,Male,Los Angeles,Returning,P7524,Footwear,31.85,10,28.67,1,28.67,Mobile Wallet,2025-11-29,1,1,0,0
T0027822,C005338,46-55,Other,Seattle,New,P7628,Electronics,439.15,20,351.32,1,351.32,Mobile Wallet,2025-11-27,7,0,0,1
T0007684,C032299,36-45,Male,Dallas,New,P1537,Groceries,196.77,50,98.38,1,98.38,Cash,2025-11-24,5,0,0,0
T0050612,C010184,36-45,Female,Houston,Loyal,P2493,Accessories,212.62,15,180.73,1,180.73,PayPal,2025-11-29,10,1,0,1
T0093644,C009155,56+,Other,San Francisco,Returning,P2002,Home & Kitchen,870.2,25,652.65,1,652.65,Cash,2025-11-24,4,0,0,1
T0046459,C014295,36-45,Male,New York,Loyal,P6366,Beauty,207.74,5,197.35,1,197.35,Credit Card,2025-11-28,20,0,1,1
T0022306,C016189,56+,Other,Atlanta,Loyal,P4324,Books,116.58,35,75.78,1,75.78,PayPal,2025-11-30,4,1,0,0
T0032378,C016833,56+,Other,San Francisco,New,P7907,Sports,500.57,20,400.46,1,400.46,Cash,2025-11-26,14,0,0,1
T0057312,C008258,18-25,Male,Houston,New,P1257,Toys,151.17,25,113.38,1,113.38,PayPal,2025-11-26,10,0,0,0
T0013806,C003661,56+,Male,Dallas,Returning,P7392,Sports,579.45,30,405.62,1,405.62,PayPal,2025-11-25,13,0,0,1
T0031350,C031601,56+,Other,San Francisco,New,P1404,Home & Kitchen,55.02,15,46.77,1,46.77,Cash,2025-11-30,23,1,0,0
T0023498,C031001,26-35,Female,Atlanta,New,P8338,Beauty,113.01,15,96.06,1,96.06,Debit Card,2025-11-26,14,0,0,0
T0091745,C023580,18-25,Other,Seattle,Loyal,P2321,Accessories,210.45,40,126.27,1,126.27,Cash,2025-11-30,10,1,0,0
T0057512,C013776,56+,Other,Dallas,Returning,P4626,Clothing,181.1,5,172.04,1,172.04,Gift Card,2025-11-30,1,1,0,1
T0001407,C015675,26-35,Other,Chicago,New,P7823,Electronics,1343.2,50,671.6,1,671.6,Gift Card,2025-11-27,1,0,0,1
T0034272,C004968,18-25,Female,Seattle,New,P9168,Home & Kitchen,338.0,20,270.4,1,270.4,Mobile Wallet,2025-11-26,22,0,0,1
T0059277,C034610,36-45,Female,San Francisco,Returning,P4807,Accessories,454.08,20,363.26,1,363.26,Debit Card,2025-11-28,8,0,1,1
T0094172,C027231,18-25,Female,Seattle,Loyal,P1741,Groceries,51.28,5,48.72,1,48.72,Credit Card,2025-11-24,6,0,0,0
T0055326,C000382,46-55,Other,San Francisco,Returning,P1555,Toys,81.53,25,61.15,1,61.15,Cash,2025-11-27,7,0,0,0
T0048308,C026922,46-55,Male,New York,New,P8429,Groceries,140.0,50,70.0,1,70.0,Mobile Wallet,2025-11-24,23,0,0,0
T0036991,C013357,26-35,Other,Miami,New,P2212,Electronics,620.3,20,496.24,3,1488.72,Mobile Wallet,2025-11-24,22,0,0,1
T0080515,C026587,46-55,Other,Houston,New,P3868,Toys,36.21,15,30.78,2,61.56,Mobile Wallet,2025-11-28,18,0,1,0
T0099005,C016505,46-55,Female,Los Angeles,New,P8288,Groceries,48.06,20,38.45,2,76.9,PayPal,2025-11-29,20,1,0,0
T0012352,C028722,36-45,Male,Seattle,Loyal,P7195,Clothing,147.92,5,140.52,1,140.52,PayPal,2025-11-24,23,0,0,0
T0039306,C014688,26-35,Female,Miami,New,P5991,Beauty,220.69,5,209.66,1,209.66,Mobile Wallet,2025-11-28,6,0,1,1
T0013508,C033345,26-35,Female,San Francisco,Loyal,P6712,Toys,118.34,15,100.59,1,100.59,Cash,2025-11-29,21,1,0,0
T0002404,C019690,56+,Male,Los Angeles,Returning,P8081,Toys,214.65,30,150.26,2,300.52,Gift Card,2025-11-28,11,0,1,1
T0096214,C001067,26-35,Male,San Francisco,Returning,P8718,Beauty,100.24,25,75.18,1,75.18,Credit Card,2025-11-26,3,0,0,0
T0031336,C028357,46-55,Male,Atlanta,Returning,P9429,Accessories,303.41,30,212.39,1,212.39,Mobile Wallet,2025-11-27,17,0,0,1
T0051845,C013213,18-25,Male,Atlanta,New,P6954,Clothing,72.19,20,57.75,1,57.75,Cash,2025-11-27,11,0,0,0
T0027878,C007623,46-55,Other,New York,VIP,P5725,Clothing,62.39,25,46.79,1,46.79,Debit Card,2025-11-25,6,0,0,0
T0007456,C002640,36-45,Other,Dallas,Returning,P7073,Sports,184.07,5,174.87,1,174.87,Credit Card,2025-11-28,14,0,1,1
T0063204,C025493,46-55,Other,Atlanta,Returning,P5468,Accessories,446.92,25,335.19,2,670.38,Debit Card,2025-11-27,3,0,0,1
T0058647,C026450,56+,Male,New York,Returning,P1993,Groceries,153.32,25,114.99,1,114.99,Mobile Wallet,2025-11-28,2,0,1,0
T0016841,C008442,56+,Male,Miami,Returning,P8577,Clothing,107.36,25,80.52,4,322.08,Mobile Wallet,2025-11-24,3,0,0,1
T0018431,C028278,18-25,Female,San Francisco,Returning,P8843,Footwear,110.09,35,71.56,1,71.56,Credit Card,2025-12-01,2,0,0,0
T0040770,C022649,46-55,Male,Chicago,New,P7074,Accessories,229.09,25,171.82,1,171.82,Credit Card,2025-11-24,13,0,0,1
T0060184,C011569,26-35,Female,Houston,VIP,P3691,Beauty,202.05,10,181.85,1,181.85,PayPal,2025-11-27,15,0,0,1
T0062479,C023253,18-25,Female,Los Angeles,Loyal,P9080,Accessories,121.67,15,103.42,1,103.42,PayPal,2025-11-27,3,0,0,0
T0026757,C000237,46-55,Female,Miami,New,P1968,Footwear,107.13,60,42.85,1,42.85,PayPal,2025-11-30,9,1,0,0
T0009721,C005100,26-35,Male,Seattle,Loyal,P4876,Sports,486.19,20,388.95,1,388.95,Credit Card,2025-11-25,21,0,0,1
T0099415,C034994,26-35,Female,Houston,Returning,P8281,Groceries,148.77,50,74.39,2,148.78,Mobile Wallet,2025-11-28,5,0,1,0
T0068186,C012175,36-45,Male,Phoenix,New,P4524,Footwear,123.11,60,49.24,1,49.24,PayPal,2025-11-29,1,1,0,0
T0084294,C019668,26-35,Other,Miami,New,P2809,Beauty,192.92,30,135.04,1,135.04,Credit Card,2025-11-28,23,0,1,0
T0054535,C025113,18-25,Other,Miami,VIP,P7910,Electronics,1626.71,25,1220.03,1,1220.03,Gift Card,2025-11-30,16,1,0,1
T0021845,C017608,56+,Female,Dallas,Returning,P9375,Home & Kitchen,84.78,50,42.39,1,42.39,Gift Card,2025-11-28,9,0,1,0
T0003280,C016901,36-45,Male,Seattle,Returning,P2726,Groceries,49.7,20,39.76,1,39.76,PayPal,2025-11-28,1,0,1,0
T0002421,C013095,26-35,Female,Houston,VIP,P3405,Accessories,42.47,35,27.61,2,55.22,Gift Card,2025-11-30,1,1,0,0
T0009181,C029392,36-45,Other,New York,New,P7720,Footwear,86.35,10,77.72,2,155.44,Mobile Wallet,2025-11-29,2,1,0,0
T0094672,C004071,56+,Other,Miami,Loyal,P4200,Beauty,54.57,15,46.38,1,46.38,Gift Card,2025-11-24,10,0,0,0
T0067235,C007329,36-45,Male,Phoenix,New,P3360,Accessories,76.81,15,65.29,2,130.58,Cash,2025-12-01,15,0,0,0
T0024914,C025658,56+,Other,Dallas,Loyal,P5932,Footwear,196.24,20,156.99,2,313.98,Cash,2025-11-24,6,0,0,1
T0083271,C005543,36-45,Male,Los Angeles,Returning,P2117,Home & Kitchen,1077.72,25,808.29,2,1616.58,Credit Card,2025-11-28,17,0,1,1
T0094238,C001013,46-55,Other,Phoenix,Loyal,P2792,Sports,567.95,50,283.98,1,283.98,Gift Card,2025-11-27,0,0,0,1
T0019104,C005548,26-35,Other,Dallas,Loyal,P7608,Sports,371.18,20,296.94,1,296.94,Cash,2025-11-27,16,0,0,1
T0071525,C021377,18-25,Male,Chicago,Loyal,P1237,Groceries,124.73,20,99.78,1,99.78,Credit Card,2025-12-01,1,0,0,0
T0087075,C003095,36-45,Male,Chicago,Loyal,P8652,Sports,352.84,50,176.42,1,176.42,Cash,2025-11-27,4,0,0,1
T0004593,C000599,36-45,Male,Houston,New,P6555,Footwear,234.04,25,175.53,1,175.53,Cash,2025-11-30,21,1,0,1
T0013150,C032459,36-45,Male,Miami,Returning,P5891,Home & Kitchen,1101.08,30,770.76,1,770.76,Gift Card,2025-11-28,20,0,1,1
T0002937,C004082,18-25,Female,New York,Returning,P7891,Home & Kitchen,462.36,10,416.12,1,416.12,Mobile Wallet,2025-11-26,10,0,0,1
T0026297,C019434,26-35,Other,Dallas,Returning,P4080,Footwear,216.0,35,140.4,1,140.4,Credit Card,2025-11-24,10,0,0,0
T0098300,C030302,46-55,Other,New York,New,P7899,Electronics,1470.19,25,1102.64,1,1102.64,Cash,2025-11-25,1,0,0,1
T0028989,C030401,36-45,Female,Seattle,New,P4565,Home & Kitchen,542.76,35,352.79,1,352.79,PayPal,2025-11-24,12,0,0,1
T0023638,C027590,26-35,Female,Seattle,New,P2383,Home & Kitchen,119.01,20,95.21,4,380.84,Cash,2025-11-26,13,0,0,1
T0032139,C008422,56+,Male,Chicago,VIP,P3213,Groceries,114.2,40,68.52,3,205.56,Mobile Wallet,2025-11-24,23,0,0,1
T0009785,C006795,56+,Other,Atlanta,Loyal,P8241,Electronics,1506.96,15,1280.92,1,1280.92,PayPal,2025-11-30,14,1,0,1
T0033619,C020837,46-55,Male,New York,VIP,P1989,Books,55.95,50,27.98,1,27.98,PayPal,2025-11-26,0,0,0,0
T0017269,C007076,56+,Male,Atlanta,New,P9932,Home & Kitchen,118.62,10,106.76,3,320.28,Mobile Wallet,2025-12-01,23,0,0,1
T0081740,C011636,46-55,Male,Miami,Returning,P9766,Electronics,1994.92,15,1695.68,1,1695.68,Credit Card,2025-11-25,4,0,0,1
T0092710,C021781,26-35,Male,San Francisco,Returning,P4766,Footwear,214.79,10,193.31,1,193.31,PayPal,2025-11-27,22,0,0,1
T0063916,C006704,18-25,Female,Miami,New,P7070,Clothing,264.34,40,158.6,1,158.6,Mobile Wallet,2025-11-27,14,0,0,0
T0007639,C021079,46-55,Female,San Francisco,Loyal,P3713,Clothing,106.36,40,63.82,1,63.82,Debit Card,2025-11-26,8,0,0,0
T0037009,C000792,46-55,Male,Miami,Returning,P4466,Groceries,56.95,25,42.71,1,42.71,Mobile Wallet,2025-11-28,17,0,1,0
T0011736,C015412,26-35,Female,Los Angeles,Loyal,P5526,Sports,445.98,35,289.89,1,289.89,Debit Card,2025-11-28,13,0,1,1
T0001553,C012244,36-45,Female,Chicago,Returning,P7526,Toys,203.34,10,183.01,1,183.01,PayPal,2025-11-27,21,0,0,1
T0098252,C004015,46-55,Male,Miami,Returning,P9630,Groceries,15.11,40,9.07,1,9.07,Mobile Wallet,2025-11-28,5,0,1,0
T0035772,C019887,56+,Male,Phoenix,VIP,P8971,Electronics,1433.69,35,931.9,1,931.9,Gift Card,2025-12-01,1,0,0,1
T0014099,C004393,56+,Male,Atlanta,Returning,P1277,Accessories,173.68,35,112.89,1,112.89,Cash,2025-11-24,18,0,0,0
T0066770,C025727,36-45,Female,Seattle,VIP,P5913,Groceries,164.15,35,106.7,5,533.5,Credit Card,2025-11-28,6,0,1,1
T0083779,C011208,56+,Male,Chicago,Loyal,P1577,Clothing,248.02,30,173.61,4,694.44,Gift Card,2025-11-25,9,0,0,1
T0059071,C005925,46-55,Female,Dallas,New,P3933,Accessories,123.75,35,80.44,1,80.44,PayPal,2025-12-01,5,0,0,0
T0069561,C032869,18-25,Female,Dallas,VIP,P3959,Groceries,52.95,20,42.36,1,42.36,Debit Card,2025-11-24,15,0,0,0
T0025076,C029929,46-55,Female,New York,New,P7083,Books,40.92,25,30.69,1,30.69,PayPal,2025-11-28,22,0,1,0
T0079864,C008051,36-45,Male,Houston,Loyal,P5635,Clothing,153.87,20,123.1,2,246.2,Credit Card,2025-11-24,4,0,0,1
T0002035,C029937,18-25,Male,New York,Returning,P9715,Home & Kitchen,299.28,25,224.46,2,448.92,Cash,2025-11-24,23,0,0,1
T0083669,C022239,36-45,Other,Seattle,Returning,P9214,Clothing,285.51,30,199.86,1,199.86,Debit Card,2025-11-25,16,0,0,1
T0050749,C002621,26-35,Other,Houston,Returning,P4655,Footwear,122.27,10,110.04,1,110.04,Gift Card,2025-11-26,1,0,0,0
T0001494,C012276,46-55,Male,Chicago,Loyal,P1721,Toys,262.71,25,197.03,1,197.03,Cash,2025-11-28,21,0,1,1
T0015524,C026596,18-25,Other,Phoenix,New,P1312,Clothing,171.63,30,120.14,1,120.14,Mobile Wallet,2025-11-26,7,0,0,0
T0031472,C023777,36-45,Male,Dallas,New,P2106,Footwear,120.91,25,90.68,1,90.68,Mobile Wallet,2025-11-28,3,0,1,0
T0088832,C006282,26-35,Male,Houston,Loyal,P7142,Sports,597.54,5,567.66,2,1135.32,Gift Card,2025-11-26,0,0,0,1
T0002091,C013506,36-45,Female,San Francisco,New,P4328,Books,48.46,25,36.34,1,36.34,Gift Card,2025-11-26,9,0,0,0
T0081172,C024937,56+,Other,Los Angeles,New,P3547,Sports,271.77,50,135.88,1,135.88,Cash,2025-12-01,8,0,0,0
T0059364,C035000,46-55,Female,Dallas,Returning,P3326,Beauty,48.39,30,33.87,1,33.87,Gift Card,2025-12-01,4,0,0,0
T0068234,C023266,18-25,Female,Chicago,Loyal,P4954,Clothing,230.34,25,172.76,1,172.76,Debit Card,2025-11-29,21,1,0,1
T0034215,C014188,18-25,Female,San Francisco,Loyal,P7520,Books,92.2,25,69.15,2,138.3,Mobile Wallet,2025-12-01,12,0,0,0
T0018525,C004167,26-35,Female,Miami,Loyal,P5491,Beauty,206.47,20,165.18,2,330.36,Credit Card,2025-11-25,22,0,0,1
T0018258,C028276,26-35,Female,New York,Loyal,P7249,Books,39.78,30,27.85,1,27.85,Cash,2025-11-30,11,1,0,0
T0055466,C003635,56+,Other,Seattle,New,P2846,Footwear,338.22,10,304.4,1,304.4,Debit Card,2025-11-27,5,0,0,1
T0044145,C025769,18-25,Female,Atlanta,Returning,P5737,Clothing,43.72,25,32.79,1,32.79,Debit Card,2025-11-28,7,0,1,0
T0076245,C000340,18-25,Other,Houston,New,P9631,Toys,152.16,30,106.51,1,106.51,Debit Card,2025-11-30,4,1,0,0
T0039839,C030003,18-25,Female,New York,Returning,P1348,Clothing,278.44,25,208.83,2,417.66,Cash,2025-12-01,3,0,0,1
T0099830,C023169,18-25,Other,Dallas,New,P3727,Clothing,151.99,10,136.79,1,136.79,Cash,2025-11-24,7,0,0,0
T0049406,C023641,56+,Male,Houston,VIP,P1639,Sports,303.54,20,242.83,1,242.83,Credit Card,2025-11-30,1,1,0,1
T0093589,C003956,36-45,Other,Houston,Returning,P8412,Toys,121.7,10,109.53,1,109.53,Debit Card,2025-11-30,3,1,0,0
T0062169,C031118,36-45,Male,San Francisco,Returning,P9281,Footwear,323.68,15,275.13,1,275.13,Credit Card,2025-11-25,10,0,0,1
T0025594,C021960,36-45,Female,Dallas,VIP,P5868,Groceries,106.17,35,69.01,3,207.03,Credit Card,2025-11-30,2,1,0,1
T0061575,C009351,26-35,Other,Los Angeles,Returning,P9942,Electronics,1886.75,35,1226.39,1,1226.39,Gift Card,2025-11-25,11,0,0,1
T0035233,C025598,56+,Male,Chicago,VIP,P7819,Beauty,225.01,5,213.76,2,427.52,Cash,2025-11-25,22,0,0,1
T0002876,C005105,36-45,Male,Chicago,Returning,P3840,Toys,47.27,40,28.36,1,28.36,Debit Card,2025-11-24,19,0,0,0
T0081840,C030876,26-35,Female,Phoenix,Returning,P3767,Home & Kitchen,633.41,30,443.39,4,1773.56,Gift Card,2025-11-25,22,0,0,1
T0053127,C029499,36-45,Male,Atlanta,Returning,P1902,Footwear,151.09,25,113.32,1,113.32,Debit Card,2025-11-29,9,1,0,0
T0099003,C028255,56+,Other,San Francisco,New,P4022,Toys,62.79,30,43.95,1,43.95,PayPal,2025-12-01,20,0,0,0
T0020368,C025545,36-45,Female,San Francisco,Returning,P6046,Toys,297.01,30,207.91,1,207.91,Cash,2025-11-29,10,1,0,1
T0020769,C030034,18-25,Male,Dallas,New,P7043,Groceries,176.58,35,114.78,2,229.56,Credit Card,2025-11-27,5,0,0,1
T0010786,C034898,56+,Other,New York,New,P6493,Books,92.32,35,60.01,1,60.01,PayPal,2025-12-01,5,0,0,0
T0035392,C018610,46-55,Female,Atlanta,Returning,P6932,Toys,163.93,35,106.55,2,213.1,Debit Card,2025-12-01,13,0,0,1
T0027138,C014309,36-45,Other,Seattle,New,P5876,Clothing,71.86,25,53.9,4,215.6,PayPal,2025-11-30,2,1,0,1
T0063486,C004610,46-55,Male,Dallas,Loyal,P6711,Footwear,342.96,10,308.66,2,617.32,Gift Card,2025-11-27,17,0,0,1
T0074920,C012427,18-25,Female,Los Angeles,Loyal,P7923,Electronics,636.79,20,509.43,1,509.43,Gift Card,2025-11-26,21,0,0,1
T0088808,C011982,26-35,Male,Dallas,VIP,P3078,Clothing,40.02,35,26.01,1,26.01,Gift Card,2025-11-30,7,1,0,0
T0076681,C011680,56+,Male,New York,Returning,P1051,Beauty,34.59,5,32.86,3,98.58,Debit Card,2025-11-29,17,1,0,0
T0089445,C009576,18-25,Male,Houston,Loyal,P3295,Home & Kitchen,62.22,35,40.44,1,40.44,Cash,2025-11-26,14,0,0,0
T0039128,C034074,26-35,Male,Miami,VIP,P3704,Electronics,2162.09,5,2053.99,4,8215.96,Debit Card,2025-11-26,2,0,0,1
T0010336,C001022,56+,Other,Houston,Loyal,P4686,Books,108.45,30,75.91,4,303.64,PayPal,2025-11-26,20,0,0,1
T0012065,C028839,56+,Female,Phoenix,Loyal,P6615,Sports,327.82,50,163.91,1,163.91,Cash,2025-11-24,16,0,0,1
T0018329,C007190,56+,Other,Dallas,New,P5538,Books,109.17,20,87.34,1,87.34,PayPal,2025-11-27,1,0,0,0
T0040918,C019171,18-25,Male,San Francisco,New,P8411,Beauty,39.58,15,33.64,1,33.64,Debit Card,2025-11-24,1,0,0,0
T0040105,C013684,56+,Male,Chicago,Loyal,P5310,Books,97.97,25,73.48,1,73.48,Gift Card,2025-11-29,9,1,0,0
T0086012,C014745,56+,Other,New York,Returning,P7111,Sports,419.49,35,272.67,2,545.34,Gift Card,2025-11-27,4,0,0,1
T0019901,C034675,18-25,Female,Dallas,Loyal,P1135,Toys,29.83,20,23.86,1,23.86,Debit Card,2025-12-01,13,0,0,0
T0068762,C009606,46-55,Male,Houston,New,P4436,Books,57.19,25,42.89,2,85.78,PayPal,2025-11-29,1,1,0,0
T0003650,C017815,26-35,Male,Chicago,VIP,P6473,Sports,225.03,5,213.78,1,213.78,Cash,2025-11-26,2,0,0,1
T0013733,C003869,26-35,Female,Dallas,New,P7956,Footwear,85.22,35,55.39,1,55.39,PayPal,2025-11-29,15,1,0,0
T0021732,C024297,46-55,Female,Los Angeles,New,P4053,Beauty,139.74,35,90.83,2,181.66,Debit Card,2025-11-25,10,0,0,1
T0062796,C020266,56+,Other,Atlanta,New,P1681,Beauty,133.79,10,120.41,1,120.41,Cash,2025-11-30,11,1,0,0
